Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Otitis Media,keep ears dry,avoid inserting objects in ear,consult doctor,complete antibiotic course
Otitis Externa,keep ears dry,avoid swimming during infection,use ear plugs,consult doctor
Sinusitis,stay hydrated,use humidifier,avoid allergens,consult doctor
Allergic Rhinitis,avoid allergens,use air purifier,wash bedding frequently,consult doctor
Tonsillitis,gargle with salt water,stay hydrated,rest,consult doctor
Laryngitis,rest voice,stay hydrated,use humidifier,avoid irritants
Menieres Disease,reduce salt intake,avoid caffeine,manage stress,consult doctor
Deviated Septum,avoid nasal irritants,use nasal saline spray,stay hydrated,consult doctor
Tinnitus,avoid loud noises,use ear protection,reduce stress,consult doctor
Epistaxis,stay hydrated,apply petroleum jelly in nose,avoid nose picking,consult doctor
